Genome Cluster ID,Number of Non-redundant Genomes
Cluster_2137,1
Cluster_2138,1
Cluster_2139,1
Cluster_214,27
Cluster_2140,1
Cluster_2141,2
Cluster_2142,2
Cluster_2143,2
Cluster_2144,1
Cluster_2145,2
Cluster_2146,1
Cluster_2147,1
Cluster_2148,5
Cluster_2149,3
Cluster_215,1
Cluster_2150,2
Cluster_2151,1
Cluster_2152,1
Cluster_2153,327
Cluster_2154,2
Cluster_2155,1
Cluster_2156,5
Cluster_2157,2
Cluster_2158,9
Cluster_2159,2
Cluster_216,44
Cluster_2160,15
Cluster_2161,1
Cluster_2162,1
Cluster_2163,3
Cluster_2164,1
Cluster_2165,3
Cluster_2166,13
Cluster_2167,1
Cluster_2168,3
Cluster_2169,138
Cluster_217,83
Cluster_2170,2
Cluster_2171,1
Cluster_2172,1
Cluster_2173,4
Cluster_2174,5
Cluster_2175,5
Cluster_2176,2
Cluster_2177,4
Cluster_2178,1
Cluster_2179,1
Cluster_218,2
Cluster_2180,1
Cluster_2181,1
Cluster_2182,1
Cluster_2183,1
Cluster_2184,2
Cluster_2185,1
Cluster_2186,1
Cluster_2187,15
Cluster_2188,2
Cluster_2189,1182
Cluster_219,4
Cluster_2190,1
Cluster_2191,1
Cluster_2192,1
Cluster_2193,6
Cluster_2194,7
Cluster_2195,1
Cluster_2196,377
Cluster_2197,2
Cluster_2198,3
Cluster_2199,75
Cluster_22,2
Cluster_220,1
Cluster_2200,2
Cluster_2201,3
Cluster_2202,3
Cluster_2203,7
Cluster_2204,4
Cluster_2205,5
Cluster_2206,14
Cluster_2207,37
Cluster_2208,117
Cluster_2209,65
Cluster_221,1
Cluster_2210,3
Cluster_2211,6
Cluster_2212,2
Cluster_2213,9
Cluster_2214,71
Cluster_2215,1
Cluster_2216,4
Cluster_2217,1
Cluster_2218,2
Cluster_2219,6
Cluster_222,1
Cluster_2220,3
Cluster_2221,1
Cluster_2222,81
Cluster_2223,14
Cluster_2224,66
Cluster_2225,5
Cluster_2226,3
Cluster_2227,3
Cluster_2228,14
Cluster_2229,1
Cluster_223,5
Cluster_2230,4
Cluster_2231,2
Cluster_2232,3
Cluster_2233,1
Cluster_2234,1
Cluster_2235,1
Cluster_2236,1
Cluster_2237,2
Cluster_2238,1
Cluster_2239,11
Cluster_224,1
Cluster_2240,1
Cluster_2241,1
Cluster_2242,1
Cluster_2243,1
Cluster_2244,2
Cluster_2245,1
Cluster_2246,1
Cluster_2247,1
Cluster_2248,1
Cluster_2249,5
Cluster_225,32
Cluster_2250,3
Cluster_2251,62
Cluster_2252,294
Cluster_2253,34
